guid,fire_dept_name,hq_addr_1,hq_addr2,hq_city,hq_state,hq_zip,mail_addr1,mail_addr2,mail_po_box,mail_city,mail_state,mail_zip,hq_phone,hq_fax,county,dept_type,organization_type,website,number_of_stations,active_firefighters_career,active_firefighters_volunteer,active_firefighters_paid_per_call,non_firefighting_civilian,non_firefighting_volunteer,primary_agency_for_em
510,Ames-Bern- Amesville Volunteer Fire Department,1 S Franklin,,Amesville,OH,45711,,,PO Box 186,Amesville,OH,45711-0186,(740) 448-7235,,ATHENS                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,8,
511,Amesbury Fire Rescue Department,17 School ST,,Amesbury,MA,01913-2812,17 School ST,,,Amesbury,MA,01913-2812,(978) 388-1333,(978) 388-8169,ESSEX                    ,Career,Local (includes career  combination  and volunteer),http://www.amesburyfire.org,2,34,0,0,5,0,
512,Amherst Fire Department,68 N Pleasant ST,PO Box 654,Amherst,MA,01004-0654,,,PO Box 654,Amherst,MA,01004-0654,(413) 256-4082,(413) 256-4087,HAMPSHIRE                ,Mostly Volunteer,Local (includes career  combination  and volunteer),,2,40,36,22,1,1,
513,Amherst Fire Department,177 Amherst ST,PO Box 1199,Amherst,NH,3031,,,PO Box 1199,Amherst,NH,03031-1199,603-673-1545,603-672-3927,HILLSBOROUGH             ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://amherstnh.gov/emergency-services/fire-department/,2,3,0,38,0,0,1
514,Amherst Fire Department,414 Church ST,,Amherst,OH,44001-2206,414 Church ST,,,Amherst,OH,44001-2206,440-988-4117,440-988-3034,LORAIN                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,1,0,32,1,0,
515,Amherst Fire District,4585 Fairgrounds RD,PO Box 38,Amherst,WI,54406,,,PO Box 38,Amherst,WI,54406-0038,715-824-2699,715-824-2692,PORTAGE                  ,Volunteer,Local (includes career  combination  and volunteer),http://www.amherstfd.org,1,0,0,35,15,5,
516,Amherst Volunteer Fire Department,1011 Main ST,PO Box 58,Amherst,TX,79312-0058,,,PO Box 58,Amherst,TX,79312-0058,(806) 246-3226,(806) 246-3695,LAMB                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,22,0,0,5,
517,Amidon Fire Protection District,103 NE Inman ST,,Amidon,ND,58620,103 NE Inman ST,,,Amidon,ND,58620,(701) 879-6290,,SLOPE                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,32,0,0,0,
518,Amisville Volunteer Fire & Rescue Company,14711 Lee HWY,PO Box 147,Amissville,VA,20106-0147,,,PO Box 147,Amissville,VA,20106-0147,(540) 937-5125,(540) 937-3874,RAPPAHANNOCK             ,Volunteer,Local (includes career  combination  and volunteer),,1,0,32,0,0,24,
519,Amity Fire Company,47 Pine Forge RD,PO Box 383,Douglasville,PA,19518-0383,47 Pine Forge RD,,PO Box 383,Douglasville,PA,19518-0383,610-689-5218,610-689-0591,BERKS                    ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.amityfirerescue.com,1,1,27,0,0,0,
520,Amity Fire District,401 S Trade Street,PO Box 335,Amity,OR,97101,401 S Trade Street,PO Box 335,,Amity,OR,97101,(503) 835-2311,(503) 835-3780,YAMHILL                  ,Volunteer,Local (includes career  combination  and volunteer),http://www.amityfire.com,2,0,40,0,0,4,
521,Amity Volunteer Fire & Rescue Department,121 E Thompson ST,,Amity,AR,71921,,,PO Box 197,Amity,AR,71921,870-828-0770,870-342-5071,CLARK                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,24,0,0,0,
522,Amityville Fire Department,55 W Oak ST,,Amityville,NY,11701,55 W Oak ST,,,Amityville,NY,11701-2942,631-264-1130,,SUFFOLK                  ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.amityvillefiredept.org/,3,5,100,0,0,50,
523,Ammon Fire Department,2135 S Ammon RD,,Ammon,ID,83406,2135 S Ammon RD,,,Ammon,ID,83406-6855,208-612-4060,208-542-6200,BONNEVILLE               ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.ci.ammon.id.us/departments/fire-department/default.asp,1,3,0,32,0,0,1
524,Ammon Volunteer Fire Department,13084 NC HWY 242 N,,Elizabethtown,NC,28337,13084 NC HWY 242 N,,,Elizabethtown,NC,28337,(910) 588-4545,,BLADEN                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,22,0,0,0,
525,Amnicon Volunteer Fire Department,8985 E US HWY 2,,South Range,WI,54874,8985 E US HWY 2,,,South Range,WI,54874,715-364-2588,,DOUGLAS                  ,Volunteer,VOLUNTEER,,0,0,22,0,0,0,
526,Amo Volunteer Fire Department,4543 W County Road 500 S,,Amo,IN,46103,,,PO Box 112,Amo,IN,46103-0112,317-539-4262,317-539-4455,HENDRICKS                ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,5,1
527,Amorita-Byron Fire & Rescue,W OK 58 HWY W,Rt 1  Box 346,Byron,OK,73722,W OK 58 HWY W,Rt 1  Box 346,,Byron,OK,73722,(580) 474-2505,(580) 474-2506,ALFALFA                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,16,0,0,0,
528,Amory Fire Department,109 Front ST,PO Box 174,Amory,MS,38821,,,PO Box 174,Amory,MS,38821-0174,662-256-8383,662-256-6325,MONROE                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),,2,14,2,12,0,0,
529,Amour Fire Department,1103 Braddock,PO Box 561,Amour,SD,57313-0561,,,PO Box 561,Amour,SD,57313-0561,605-724-2277,,DOUGLAS                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,31,0,0,0,
530,Amsterdam Fire Department,Public Safety Building,1 Guy Park AVE,Amsterdam,NY,12010-4139,Public Safety Building,1 Guy Park AVE,,Amsterdam,NY,12010-4139,518-843-1312,518-843-7396,MONTGOMERY               ,Career,Local (includes career  combination  and volunteer),,1,33,0,0,0,0,
531,Amsterdam RFD,7170 Churchill RD,,Manhattan,MT,59741-8448,7170 Churchill RD,,,Manhattan,MT,59741-8448,(406) 282-7945,,GALLATIN                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,18,0,0,0,
532,Amsterdam Volunteer Fire Department,201 Main,PO Box 48,Amsterdam,MO,64723,201 Main,,PO Box 48,Amsterdam,MO,64723,(660) 267-3306,(660) 267-3119,BATES                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,9,0,0,6,
533,Amsterdam Volunteer Fire Department  Inc.,6223 Steubenville RD,,Amsterdam,OH,43903,,,PO Box 176,Amsterdam,OH,43903,(740) 543-4332,(740) 543-4332,CARROLL                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,8,
534,Amwell Township Volunteer Fire Department,688 Amity Ridge RD,PO Box 388,Amity,PA,15311-0388,688 Amity Ridge RD,,PO Box 388,Amity,PA,15311-0388,724-228-1720,724-228-1720,WASHINGTON               ,Volunteer,Local (includes career  combination  and volunteer),,1,0,20,0,0,10,
535,Amwell Valley Fire CO,22 John Ringo RD,PO Box 76,Ringoes,NJ,8551,22 John Ringo RD,,PO Box 76,Ringoes,NJ,8551,(908) 782-1436,(908) 782-4312,HUNTERDON                ,Volunteer,Local (includes career  combination  and volunteer),,1,0,39,0,0,0,
536,Anacoco Volunteer Fire Department,4981  Main  ST, PO Box 177,Anacoco,LA,71403,4981  Main  ST, PO Box 177,,Anacoco,LA,71403,(337) 239-3800,(337) 239-9975,VERNON                   ,Volunteer,Local (includes career  combination  and volunteer),,2,0,20,0,0,0,
537,Anaconda Fire Department,420 W Commercial AVE,,Anaconda,MT,59711,420 W Commercial AVE,,,Anaconda,MT,59711-2172,406-563-2164,406-563-4001,DEER LODGE               ,Career,Local (includes career  combination  and volunteer),,1,10,0,0,0,0,0
538,Anacortes Fire Department,1016 13th ST,,Anacortes,WA,98221,1016 13th ST,,,Anacortes,WA,98221,(360) 293-1925,(360) 299-1965,SKAGIT                   ,Mostly Career,Local (includes career  combination  and volunteer),http://www.cityofanacortes.org/fire.htm,2,18,0,10,1,0,
539,Anadarko Fire/EMS,115 W Kentucky,,Anadarko,OK,73005,115 W Kentucky,,,Anadarko,OK,73005,(405) 247-3871,(405) 247-2983,CADDO                    ,Mostly Career,Local (includes career  combination  and volunteer),,2,20,0,12,2,0,
540,Anaheim Fire Department,201 S Anaheim BLVD,STE 301,Anaheim,CA,92805,201 S Anaheim BLVD,STE 301,,Anaheim,CA,92805,(714) 765-4000,(714) 765-4008,ORANGE                   ,Career,Local (includes career  combination  and volunteer),http://www.anaheim.net/section.asp?id=73,10,226,0,0,50,0,
541,Anahuac Volunteer Fire Department,505 Miller ST,PO Box 119,Anahuac,TX,77514-0119,,,PO Box 119,Anahuac,TX,77514-0119,(409) 267-6620,(409) 267-3110,CHAMBERS                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,3,
542,Anamoose Fire Department,715 Main ST,,Anamoose,ND,58710,,,PO Box 28,Anamoose,ND,58710-0028,701-465-3319,,MCHENRY                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,30,0,0,0,1
543,Anamosa Fire Department,701 E 3RD ST,,Anamosa,IA,52205,701 E 3RD ST,,,Anamosa,IA,52205-2005,319-462-4995,319-462-6081,JONES                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,32,0,0,0,0
544,Anchor Fire Department,235 Second ST,PO Box 42,Anchor,IL,61720-0042,235 Second ST,,PO Box 42,Anchor,IL,61720-0042,(309) 723-3391,(309) 723-4019,MCLEAN                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,17,0,0,0,
545,Anchorage Fire Department,100 E 4TH AVE,,Anchorage,AK,99501,100 E 4TH AVE,,,Anchorage,AK,99501-2506,907-267-4936,907-267-4977,ANCHORAGE                ,Mostly Career,Municipal Government,http://www.muni.org/departments/fire/pages/default.aspx,15,306,0,10,74,0,0
546,Anchorage Fire Protection District,1400 Evergreen RD,,Anchorage,KY,40223-1418,1400 Evergreen RD,,,Anchorage,KY,40223-1418,(502) 245-6755,(502) 245-9029,JEFFERSON                ,Mostly Career,Local (includes career  combination  and volunteer),http://www.anchoragefireandems.com,1,21,2,0,0,0,
547,Anchorage Int'l Airport Fire Department,6040 Dehaviland AVE,PO Box 190629,Anchorage,AK,99519-0629,6040 Dehaviland AVE,PO Box 190629,,Anchorage,AK,99519-0629,(907) 266-2411,(907) 266-2552,ANCHORAGE                ,Career,Transportation Authority or Airport F.D.,,1,55,0,0,11,0,
548,Ancora Hospital Fire Company,301 Spring Garden  RD,,Hammonton,NJ,8037,301 Spring Garden  RD,,,Hammonton,NJ,08037-2516,609-567-7250,609-704-4988,CAMDEN                   ,Mostly Career,State Government,,1,6,2,0,1,0,1
549,Andalusia Fire Department,100 Church ST,,Andalusia,AL,36420-3802,100 Church ST,,,Andalusia,AL,36420-3802,(334) 222-1121,(334) 222-1122,COVINGTON                ,Career,Local (includes career  combination  and volunteer),,1,17,0,0,0,0,
550,Andalusia Fire Protection District,PO Box 465,,Andalusia,IL,61232-0465,,,PO Box 465,Andalusia,IL,61232-0465,(309) 798-2030,(309) 798-5152,ROCK ISLAND              ,Volunteer,Local (includes career  combination  and volunteer),,2,0,32,0,0,0,
551,Ander-Weser Volunteer Fire Department,3306 E FM 1961,,Goliad,TX,77963-3361,3306 E FM 1961,,,Goliad,TX,77963-3361,000-000-0000,,GOLIAD                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,20,0,0,25,
552,Anderson City Fire Department,400 S McDuffie ST,,Anderson,SC,29624,400 S McDuffie ST,,,Anderson,SC,29624,(864) 231-2256,(864) 231-7634,ANDERSON                 ,Career,Local (includes career  combination  and volunteer),http://www.cityofandersonsc.com,2,51,0,0,2,0,
553,Anderson County Fire Department,210 McGee RD,,Anderson,SC,29625,210 McGee RD,,,Anderson,SC,29625-2104,864-260-4016,864-260-4015,ANDERSON                 ,Volunteer,State Government,http://www.acfire.org/,28,0,658,0,17,142,
554,Anderson County Fire Protection District,1009 Wildcat RD,,Lawrenceburg,KY,40342,,,PO Box 34,Lawrenceburg,KY,40342,(502) 839-5039,(502) 839-5032,ANDERSON                 ,Volunteer,Local (includes career  combination  and volunteer),http://www.andersoncountyfd.com,5,0,68,0,0,0,
555,Anderson County Rural Fire,100 E Fourth AVE,,Garnett,KS,66032,100 E Fourth AVE,,,Garnett,KS,66032,785-448-6797,785-448-5621,ANDERSON                 ,Volunteer,Local (includes career  combination  and volunteer),,9,0,125,0,0,0,
556,Anderson County Rural Fire Department,14296 SE Oregon RD,,Kincaid,KS,66039,14296 SE Oregon RD,,,Kincaid,KS,66039,(620) 439-5631,,ANDERSON                 ,Volunteer,Local (includes career  combination  and volunteer),,2,0,16,0,0,0,
557,Anderson County Volunteer Fire Department- Marlow Unit,1019 Oliver Springs HWY,,Clinton,TN,37716-5365,1019 Oliver Springs HWY,,,Clinton,TN,37716-5365,865-435-1050,865-457-8404,ANDERSON                 ,Volunteer,Local (includes career  combination  and volunteer),http://www.marlowfire.org/,2,0,18,0,0,5,
558,Anderson Creek Emergency Services,2980 Ray RD,,Spring Lake,NC,28390-7801,2980 Ray RD,,,Spring Lake,NC,28390-7801,(910) 497-0395,(910) 497-3891,CUMBERLAND               ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.fire-ems.net/firedept/SpringLake/NC,1,4,0,36,1,4,
559,Anderson Fire Department,911 D ST,PO Box 3100,Anderson,AK,99744,,,PO Box 3100,Anderson,AK,99744-3100,907-582-2500,907-582-2496,DENALI                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,20,0,0,10,1
560,Anderson Fire Department,44 W Fifth ST,PO Box 2100,Anderson,IN,46018,44 W Fifth ST,,PO Box 2100,Anderson,IN,46018,(765) 648-6600,(765) 648-6625,MADISON                  ,Career,Local (includes career  combination  and volunteer),http://www.cityofanderson.com/afd/,7,124,0,0,3,0,
561,Anderson Fire Department,PO Box 38,,Anderson,AL,35610-0038,,,PO Box 38,Anderson,AL,35610-0038,(256) 247-7159,(256) 247-7159,LAUDERDALE               ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,0,
562,Anderson Fire Department,Hwy 59,,Anderson,MO,64831,,,PO Box 397,Anderson,MO,64831,417-845-6202,417-845-1090,MCDONALD                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,0,
563,Anderson Fire Protection District,1925  Howard ST,,Anderson,CA,96007,1925  Howard ST,,,Anderson,CA,96007-3340,530-378-6699,530-378-6697,SHASTA                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.andersonfire.org/,1,6,19,0,1,1,1
564,Anderson Island Fire District - Pierce County District #27,12207 Lake Josephine BLVD,,Anderson Island,WA,98303-8709,12207 Lake Josephine BLVD,,,Anderson Island,WA,98303-8709,253-884-4040,253-884-4057,PIERCE                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,2,30,20,1,0,
565,Anderson Township Fire & Rescue Department Station 10,7850 Five Mile RD,,Anderson Township,OH,45230,7850 Five Mile RD,,,Anderson Township,OH,45230-2356,513-688-8400,513-231-2967,HAMILTON                 ,Career,Local (includes career  combination  and volunteer),http://www.andersontownship.org/index.asp?page=FRDeptAdmin,4,66,0,0,1,0,
566,Anderson Township Fire Department,12835 ST RD 145,,Tell City,IN,47586,12835 ST RD 145,,,Tell City,IN,47586,(812) 836-2555,(812) 836-2614,PERRY                    ,Volunteer,Local (includes career  combination  and volunteer),,2,0,38,0,0,0,
567,Anderson Township Volunteer Fire Department,225 Baynes RD,,Burlington,NC,27217,225 Baynes RD,,,Burlington,NC,27217,336-421-3311,336-421-3311,CASWELL                  ,Volunteer,Local (includes career  combination  and volunteer),,2,0,41,0,0,0,
568,Anderson TWP Volunteer Fire Department,214 W Main ST,,Milroy,IN,46156,214 W Main ST,,,Milroy,IN,46156,(765) 629-2000,,RUSH                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,0,
569,Anderson Valley Fire Department,14281 HWY 128,PO Box 398,Boonville,CA,95415,14281 HWY 128,,PO Box 398,Boonville,CA,95415,(707) 895-2020,(707) 895-2239,MENDOCINO                ,Mostly Volunteer,Local (includes career  combination  and volunteer),,7,1,40,0,1,2,
570,Andersonville Volunteer Fire Department,1957 Mountain RD,PO Box 340,Andersonville,TN,37705,,,PO Box 340,Andersonville,TN,37705-0340,(865) 494-0563,,ANDERSON                 ,Volunteer,Local (includes career  combination  and volunteer),,2,0,30,0,0,30,
571,Andersonville Volunteer Fire Department,PO Box 35,,Andersonville,GA,31711,,,PO Box 35,Andersonville,GA,31711,(229) 924-1144,,SUMTER                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,17,0,5,0,
572,Andes Fire Department,5259 County Hwy 1 HWY,,Andes,NY,13731,5259 County Hwy 1 HWY,,P.O. Box 475,Andes,NY,13731,845-676-4588,845-676-4989,DELAWARE                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,44,0,0,0,
573,Andover Boro Fire Department,152 Main ST,PO Box 625,Andover,NJ,7821,152 Main ST,,PO Box 625,Andover,NJ,7821,(973) 786-5120,(973) 786-5475,SUSSEX                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,17,0,6,0,
574,Andover Fire Department,Unknown,,Andover,IA,52701,,,,Andover,IA,52701,(563) 682-7554,(563) 682-7614,CLINTON                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,20,0,0,0,
575,Andover Fire Department,169 Main ST,,Andover,NH,03216-0117,169 Main ST,,P.O. Box 117,Andover,NH,03216-0117,603-735-5353,,MERRIMACK                ,Volunteer,Local (includes career  combination  and volunteer),,1,0,11,0,0,0,
576,Andover Fire Department,60 S Main ST,PO Box 714,Andover,NY,14806-0714,60 S Main ST,,PO Box 714,Andover,NY,14806-0714,607-478-8361,607-478-8361,ALLEGANY                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,56,0,0,0,
577,Andover Fire Department,38 S Main ST,PO Box 219,Andover,ME,04216-0219,38 S Main ST,,PO Box 219,Andover,ME,04216-0219,(207) 392-1431,(207) 392-4700,OXFORD                   ,Volunteer,Local (includes career  combination  and volunteer),,2,0,18,0,0,2,
578,Andover Fire Department,13875 Crosstown DR NW,,Andover,MN,55304,13875 Crosstown DR NW,,,Andover,MN,55304-3750,763-755-9825,763-755-9583,ANOKA                    ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.ci.andover.mn.us/,3,2,0,50,1,0,1
579,Andover Fire Rescue,32 N Main ST,,Andover,MA,1810,32 N Main ST,,,Andover,MA,01810-3513,978-475-1281,978-475-6654,ESSEX                    ,Career,Local (includes career  combination  and volunteer),,3,70,0,0,2,0,0
580,Andover Fire-Rescue,911 N Andover RD,,Andover,KS,67002,911 N Andover RD,,,Andover,KS,67002-9795,316-733-1863,316-733-2367,BUTLER                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,14,0,15,0,1,1
581,Andover Township Volunteer Fire Department,625 Limecrest RD,Andover Township,Newton,NJ,07860-9730,625 Limecrest RD,Andover Township,,Newton,NJ,07860-9730,973-383-4431,973-383-6646,SUSSEX                   ,Volunteer,Local (includes career  combination  and volunteer),,2,0,30,0,0,0,
582,Andover Volunteer Fire Department,200 W 1ST AVE,,Andover,SD,57422-2108,200 W 1ST AVE,,,Andover,SD,57422-2108,605-298-5299,,DAY                      ,Volunteer,Local (includes career  combination  and volunteer),,1,0,20,0,0,6,
583,Andover Volunteer Fire Department,11 School RD,,Andover,CT,6232,11 School RD,,,Andover,CT,6232,(860) 742-7477,(860) 742-4047,TOLLAND                  ,Volunteer,Local (includes career  combination  and volunteer),http://pages.cthome.net/andoverfire,1,0,30,0,0,0,
584,Andover Volunteer Fire Department  Inc.,153 Station ST,PO Box 900,Andover,OH,44003,,,PO Box 900,Andover,OH,44003,(440) 293-6363,(440) 293-6125,ASHTABULA                ,Volunteer,Private or industrial fire  brigade,,1,0,35,0,0,0,
585,Andrew Mitchell Hose Co.#1,1 John ST,,Carbondale,PA,18407,1 John ST,,,Carbondale,PA,18407,570-282-1425,,LACKAWANNA               ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.carbondalefd.com,1,7,25,0,0,75,
586,Andrew Volunteer Fire Department,17 N Marion ST,PO Box 32,Andrew,IA,52030,,,PO Box 32,Andrew,IA,52030-0032,563-672-3400,563-672-3500,JACKSON                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,7,1
587,Andrews Fire Department,85 Locust ST,,Andrews,NC,28901-1226,85 Locust ST,,P.O. Box 1226,Andrews,NC,28901-1226,828-321-4200,828-321-4200,CHEROKEE                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,0,
588,Andrews Volunteer Fire Department,201 E Broadway,111 Logsdon Ave.,Andrews,TX,79714-6515,111 Logsdon ST,,,Andrews,TX,79714-6515,(432) 523-5545,(432) 523-2590,ANDREWS                  ,Volunteer,Local (includes career  combination  and volunteer),www.cityofandrews.org,2,0,32,32,0,7,
589,ANDREWS Volunteer Fire Department,796 N MAIN,PO Box 283,ANDREWS,IN,46702,796 N MAIN,,PO Box 283,ANDREWS,IN,46702,(260) 786-1866,,HUNTINGTON               ,Volunteer,Local (includes career  combination  and volunteer),,1,0,15,0,0,10,
590,Aneta Fire Protection District,113 Third ST N,,Aneta,ND,58212-0377,,,PO Box 214,Aneta,ND,58212-0214,(701) 326-4500,,NELSON                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,20,0,0,0,
591,Angel Fire Fire Department,11 N Angel Fire RD,,Angel Fire,NM,87710,,,PO Box 610,Angel Fire,NM,87710-0610,575-377-3347,575-377-6098,COLFAX                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.afgov.org/departments/Fire-Department,3,6,15,0,0,10,1
592,Angeles National Forest Fire Lookout Association,PO Box 1409,,Arcadia,CA,91733,,,PO Box 1409,Arcadia,CA,91077,(909) 338-3923,(818) 354-4052,LOS ANGELES              ,Volunteer,Volunteer Fire Lookouts for US Forest Service,http://angeleslookouts.org,2,0,90,0,0,0,
593,Angelina College Fire Academy,3500 S First ST,PO Box 1768,Lufkin,TX,75902-1768,3500 S First ST,PO Box 1768,,Lufkin,TX,75902-1768,(936) 633-5366,(936) 633-5478,ANGELINA                 ,Career,Fire Academy,,1,2,0,0,0,0,
594,Angelina River Volunteer Fire Department,RTE 7 Box 299-4,,Jasper,TX,75951,RTE 7 Box 299-4,,,Jasper,TX,75951,409-384-4439,,JASPER                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,14,0,0,0,
595,Angels Camp Volunteer Fire Department,1404 Highway 4,PO Box 457,Angels Camp,CA,95222-0457,,,PO Box 457,Angels Camp,CA,95222-0457,(209) 736-4081,(209) 736-9048,CALAVERAS                ,Volunteer,Local (includes career  combination  and volunteer),,2,0,17,0,0,12,
596,Angier & Black River Fire Department,309 N Broad E,PO Box 389,Angier,NC,27501,309 N Broad E,,PO Box 389,Angier,NC,27501,(919) 639-6234,(919) 639-5915,HARNETT                  ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,5,37,0,0,0,
597,Angleton Fire Department,221  N Chenango,,Angleton,TX,77515,221  N Chenango,,,Angleton,TX,77515,(979) 849-1265,,BRAZORIA                 ,Volunteer,Local (includes career  combination  and volunteer),,3,0,34,0,0,0,
598,Angola Fire Department,202 W Gilmore ST,,Angola,IN,46703,202 W Gilmore ST,,,Angola,IN,46703,260-665-5555,260-624-3115,STEUBEN                  ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,9,0,24,0,0,
599,Angola Volunteer Fire Department,41 Commercial ST,,Angola,NY,14006,41 Commercial ST,,P.O. Box 303,Angola,NY,14006,716-549-3022,,ERIE                     ,Volunteer,Local (includes career  combination  and volunteer),,2,0,35,0,0,20,
600,Aniak Volunteer Fire Department,101 Fire Station  RD,PO Box 307,Aniak,AK,99557,,,PO Box 307,Aniak,AK,99557-0307,907-675-4601,907-675-4601,BETHEL                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,12,0,0,0,1
601,Animas Volunteer Fire & Rescue Department,13 Maverick RD,,Animas,NM,88020,,,PO Box 409,Animas,NM,88020,(505) 548-2323,(505) 548-0074,HIDALGO                  ,Volunteer,Local (includes career  combination  and volunteer),,1,0,25,0,0,0,
602,Anita Volunteer Fire Department,208 Walnut ST,,Anita,IA,50020,,,PO Box104,Anita,IA,50020,(712) 762-3537,,CASS                     ,Volunteer,Local (includes career  combination  and volunteer),,1,0,30,0,0,0,
603,Ankeny Fire Department,120 NW Ash DR,,Ankeny,IA,50021,120 NW Ash DR,,,Ankeny,IA,50021,(515) 965-6469,(515) 965-6471,POLK                     ,Mostly Volunteer,Local (includes career  combination  and volunteer),www.ci.ankeny.ia.us,1,5,0,65,2,0,
604,Anmoore Fire Department,100 S Ash ST,PO Box 187,Anmoore,WV,26323-0187,,,PO Box 187,Anmoore,WV,26323-0187,304-622-5649,304-622-0275,HARRISON                 ,Volunteer,Local (includes career  combination  and volunteer),,1,0,30,0,0,2,
605,Ann Arbor Township Fire Department,4319 Goss RD,,Ann Arbor,MI,48105,4319 Goss RD,,,Ann Arbor,MI,48105,(734) 741-5900,(734) 741-9801,WASHTENAW                ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.aatfd.org/,2,7,0,23,0,0,
606,Anna Fire Department,515 S Pike ST,PO Box 140,Anna,OH,45302-0140,515 S Pike ST,,PO Box 140,Anna,OH,45302-0140,937-394-2116,937-394-2123,SHELBY                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,26,0,0,
607,Anna Fire Department,305 S Highway  5,PO Box 487,Anna,TX,75409-0487,,,PO Box 487,Anna,TX,75409-0487,(972) 924-2143,(972) 542-3036,COLLIN                   ,Volunteer,Local (includes career  combination  and volunteer),,2,0,20,0,0,0,
608,Anna Fire Department,115 Washington ST,,Anna,IL,62906,101 Market ST,,,Anna,IL,62906,(618) 833-2231,(608) 833-9511,UNION                    ,Mostly Volunteer,Local (includes career  combination  and volunteer),,1,5,0,15,0,0,
609,Annandale Fire Department,340 Poplar AVE,,Annandale,MN,55302,,,PO Box K,Annandale,MN,55302-0136,320-274-8466,320-274-5728,WRIGHT                   ,Volunteer,Local (includes career  combination  and volunteer),,1,0,0,27,0,0,1
610,Annandale Hose Company # 1,68 Beaver AVE,,Annandale,NJ,8801,,,PO Box 402,Annandale,NJ,8801,908-735-5214,908-735-8163,HUNTERDON                ,Volunteer,Local (includes career  combination  and volunteer),http://www.ahco1.com,2,0,45,0,0,1,
611,Annapolis VFB,36303 Annapolis RD,,Annapolis,CA,95412-9714,36303 Annapolis RD,,,Annapolis,CA,95412-9714,(707) 886-5166,(707) 886-0507,SONOMA                   ,Volunteer,Non=profit VFC,,1,0,13,0,0,10,
612,Annaville Volunteer Fire Department,11551 Leopard ST,,Corpus Christi,TX,78410-3415,11551 Leopard ST,,,Corpus Christi,TX,78410-3415,(361) 241-1372,(361) 242-2562,NUECES                   ,Mostly Volunteer,Local (includes career  combination  and volunteer),http://www.annavillevfd.com/,3,1,30,0,0,0,
613,Annawan-Alba Fire Protection District,101 S Main ST,,Annawan,IL,61234,101 S Main ST,,,Annawan,IL,61234,309-935-6221,,HENRY                    ,Volunteer,Local (includes career  combination  and volunteer),,1,0,24,0,0,0,
614,Anne Arundel County Fire Department,8501 Veterans HWY,,Millersville,MD,21108,8501 Veterans HWY,,,Millersville,MD,21108-2509,410-222-8200,410-987-2904,ANNE ARUNDEL             ,Mostly Career,Local (includes career  combination  and volunteer),http://www.aacounty.org/Fire/index.cfm,31,817,427,0,37,680,1
